filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev	date
EPH-PT-1-89-002.jpg	303	222	76.9468	14	29.0854	35	62.8274	1985.00
EPH-PT-1-9-001.jpg	304	180	77.7378	16	14.8927	42	70.0813	1985.00
EPH-PT-1-9-002.jpg	305	192	74.4623	15	15.0721	36	69.8512	1985.00
EPH-PT-1-90-001.jpg	306	221	80.1886	16	28.1397	35	63.8965	1985.00
EPH-PT-1-90-002.jpg	307	223	76.5768	16	28.7321	35	63.2515	1985.00
EPH-PT-1-91-001.jpg	308	191	72.8247	90	63.0598	31	66.7636	1985.00
EPH-PT-1-91-002.jpg	309	188	76.1103	72	63.0196	35	68.0567	1985.00
EPH-PT-1-92-001.jpg	310	194	68.1171	80	64.5348	31	51.217	1985.00
EPH-PT-1-92-002.jpg	311	190	70.7151	55	64.6357	34	55.0724	1985.00
EPH-PT-1-93-001.jpg	312	89	78.0064	60	62.1341	26	70.2555	1985.00
EPH-PT-1-93-002.jpg	313	90	77.9931	61	62.5311	26	69.2635	1985.00
EPH-PT-1-94-001.jpg	314	55	83.0222	27	22.4344	70	71.0564	1985.00
EPH-PT-1-94-002.jpg	315	205	83.0672	42	79.1959	106	60.8302	1985.00
EPH-PT-1-94-003.jpg	316	59	83.4371	27	23.125	70	70.8655	1985.00
EPH-PT-1-95-001.jpg	317	52	82.7734	26	22.0045	72	69.6868	1985.00
EPH-PT-1-95-002.jpg	318	199	81.4635	38	77.3835	105	60.3368	1985.00
EPH-PT-1-95-003.jpg	319	57	83.5311	26	22.5537	70	69.5758	1985.00
EPH-PT-1-96-001.jpg	320	81	80.4309	23	39.1986	143	72.6892	1985.00
EPH-PT-1-96-002.jpg	321	88	80.8725	23	39.5502	143	73.0577	1985.00
EPH-PT-1-97-001.jpg	322	52	66.1597	93	45.2953	31	60.6457	1985.00
EPH-PT-1-97-002.jpg	323	59	69.0326	91	45.6472	30	60.2419	1985.00
EPH-PT-1-98-001.jpg	324	225	78.0632	3	30.1743	42	71.5395	1985.00
EPH-PT-1-98-002.jpg	325	225	73.0746	3	28.9098	42	70.7519	1985.00
